sign1_id,sign2_id,percent,description
1,1,75,"Може здатися дивним уявити Водолія, закоханого в іншого Водолія. Коли ви вивчаєте астрологію, одне з перших речей, які ви дізнаєтеся, це те, що Водолій є знаком розлучень, розривів і звільнення від режимів та стосунків. Як знак, що несе в собі протиріччя, Водолію часто нелегко спілкуватися з будь-яким іншим знаком зодіаку, але саме це вони можуть зрозуміти один в одному. Якщо вони по-справжньому поважають один одного, є велика ймовірність, що вони навчаться розуміти й інші аспекти життя один одного. Як би божевільно це не звучало, ці двоє партнерів мають великі шанси залишитися разом, тому що вони знатимуть один одного краще, ніж будь-хто інший. Однак вони рідко відчувають сильну привабливість один до одного, і навіть коли це трапляється, їм дуже важко сформувати глибокий емоційний зв'язок. Коли ж це трапляється, то... небо не є межею."
1,2,40,"Як і всі сусідні знаки, Водолій і Риби не завжди найкраще розуміють особистість один одного. Однак знак Водолія підносить Нептуна, правителя Риб, і це дає їм міцний зв'язок через планету всієї магії. Нелегко створити казкову версію цього контакту, але як тільки вони знайдуть емоційну рівновагу і єдину, основну істину один для одного, вони без проблем зможуть підтримувати свою казку, день за днем."
1,3,70,"Овен і Водолій створюють незвичайну та цікаву пару з елементів вогню і повітря, де обидва партнери цінують свободу та нові ідеї. Сміливість та ініціативність Овна гармонійно доповнюється винахідливістю і незалежністю Водолія – разом вони генерують безліч оригінальних планів і з радістю втілюють їх у життя. Їхні стосунки сповнені дружнього тепла та веселощів: Водолій захоплюється щирістю і силою Овна, а Овен поважає інтелект і нестандартний погляд на світ партнера. Іноді емоційно відсторонений Водолій може здаватися Овну занадто холодним, а Овен для Водолія – занадто вимогливим, але вони здатні швидко знаходити компроміс завдяки взаємній повазі. Коли ця пара підтримує одне одного у мріях і починаннях, їхнє кохання розквітає – яскраве, вільне та натхненне спільними пригодами."
1,4,40,"Телець і Водолій – незвична пара з протилежними поглядами, де зіткнулися традиційність землі та бунтівливість повітря. Консервативний Телець живе реальними справами і цінує звичний порядок, тоді як Водолій – яскрава індивідуальність, новатор і мрійник, який прагне змін та експериментів. Спочатку різниця може навіть притягувати: Водолій з цікавістю вчиться у Тельця терпінню і теплоті, а Телець піддається чарівності розуму і оригінального мислення партнера-Водолія. Згодом конфліктів не уникнути: Тельця засмучують непередбачуваність і емоційна відстороненість Водолія, а Водолію здається, що Телець надто впертий і скутий рамками. Цим знакам важко порозумітися без компромісів, але якщо вони щиро кохають, то можуть спробувати збалансувати різні світи – Телець дарує стосункам сталість і тепло, а Водолій привносить у них свіжість і захопливість."
1,5,95,"Близнюки і Водолій – блискучий союз двох повітряних стихій, де панують інтелект, дружба і взаємна свобода. Обидва знаки люблять нове та незвичайне: Близнюки невтомно генерують ідеї, а оригінальний Водолій із захопленням підхоплює їх – разом вони утворюють креативний і дуже товариський дует. Їхня емоційна прив’язаність будується на глибокому інтелектуальному зв’язку: вони годинами говорять про все на світі, розуміючи одне одного з півслова, та підтримують особисту незалежність партнера. Жоден з них не обмежує іншого – навпаки, вони надихають на розвиток та поважають індивідуальність: Водолій цінує дотепність і гнучкість Близнюків, а Близнюки захоплюються гуманністю і сміливими поглядами Водолія. Це майже ідеальна пара, в якій панує легкість і довіра: їхнє кохання нагадує яскраву дружбу, переповнену ніжністю, спільними мріями і взаємною підтримкою."
1,6,10,"Рак і Водолій – один з найменш ймовірних союзів, де традиціоналіст і домосід Рак намагається порозумітися з бунтівним і незалежним Водолієм. Емоційний Рак прагне близькості, передбачуваності і взаємної турботи, тоді як інтелектуальний Водолій цінує свободу, має безліч друзів та захоплень і часто емоційно відсторонений. Спочатку Рак може зацікавитися оригінальністю Водолія і його широким світоглядом, а Водолія приваблює доброта і щирість Рака – вони бачать одне в одному щось екзотичне. Однак дуже швидко Рак починає страждати від браку уваги та тепла, які не завжди здатен дати віддалений партнер, а Водолій відчуває тиск від надмірної чутливості та прив’язаності Рака. Зазвичай ці стосунки довго не тривають – надто вже різні їхні потреби – але якщо вони спробують зрозуміти один одного, то можуть навчитися цінним речам: Рак – трохи більше свободи, а Водолій – трохи більше душевності."
1,7,60,"Лев і Водолій – протилежності на зодіакальному колі (вогонь і повітря), їхній союз тримається на взаємному притяганні та одночасно викликах. Леву подобається оригінальність, розум та незалежний характер Водолія – він бачить у ньому цікавого співрозмовника і особистість, яка не підкоряється натовпу, а Водолія захоплює сила, щедрість і яскравість Лева. Спочатку між ними виникає сильний інтерес: вони багато спілкуються, діляться ідеями, разом втілюють креативні плани, їх фізична та інтелектуальна сумісність на високому рівні. Згодом проблеми можуть виникнути через різні потреби: Лев хоче більше емоційної близькості, поклоніння і традиційного вираження любові, а Водолій цінує дружнє партнерство, свободу і може здаватися Леву занадто відстороненим чи холодним – це неймовірно дратує та ранить Лева. Якщо вони навчаться приймати особливості одне одного – Лев дасть Водолію щире серце і лідерство, а Водолій подарує Леву нові погляди і простір для розвитку – їхній союз може стати незвичайним, але напрочуд плідним коханням, сповненим взаємоповаги."
1,8,30,"Діва може уособлювати все те, від чого тікає Водолій – практичність, турботу про здоров'я та земні справи, приземленість, манію до чистоти. Уявіть, наскільки безвідповідальним, хаотичним і нереалістичним Водолій виглядає в їхніх очах. Найсильніша точка дотику між ними – це раціональність і комунікабельність, і це можна використовувати для подолання багатьох проблем, що виникають через їхні відмінності. На жаль, у більшості випадків між ними не буде достатньої хімії, щоб почати стосунки, не кажучи вже про те, щоб довго залишатися в сексуально задовільних стосунках. Якщо вони ставитимуться один до одного серйозно, то можуть створити разом неймовірні речі, оскільки їхні великі уми злиються воєдино."
1,9,70,"Між партнерами-Терезами і Водоліями існує сильне взаєморозуміння завдяки їхньому спільному елементу Повітря. Проте, їхнім неспокійним Сонцям може бути досить складно порозумітися, і вони часто матимуть труднощі з пристосуванням до характеру один одного та знаходженням глибокої поваги один до одного. Найкращим ліком від будь-яких проблем у їхніх стосунках зазвичай є час, але через потребу Водоліїв у спонтанності вони часто не протримаються достатньо довго, щоб час зміг виправити те, що було зруйновано. Якою б не була їхня історія, вони переживуть разом багато цікавих подій, і якщо вони закохаються, то для такої пари було б шкода не спробувати побудувати стосунки, як би вони не закінчилися."
1,10,30,"Хтось може сказати, що це кармічні стосунки, що ці партнери були ворогами в одному зі своїх попередніх життів і що вони можуть боротися, поки один з них не загине. Однак це було б дещо надмірним. Правда в тому, що Скорпіон є знаком екзальтації Урана і, як такий, він певним чином обожнює Водолія. У більшості випадків партнер-Скорпіон буде одержимо виявляти свою прихильність, але Водолію це може бути навіть приємно. Якщо подивитися на знак Водолія, то ми побачимо, що він підносить Нептун, правителя водного знака Риб, і всі наші припущення про їхню емоційну холодність потонуть у їхній безмежній любові. Справа в тому, що вони обидва є в певному сенсі ізгоями і бунтівниками. Скорпіон уособлює всі наші емоції, з якими ми не хочемо мати справу, а Водолій уособлює спосіб мислення, до якого більшість з нас не готова. Найкраще розглядати їх як провісників змін, бо саме це вони принесуть у життя одне одного."
